https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume EUR
1608933300,2020-12-25 21:55:00,BTC/EUR,19990.95,20000.00,19990.95,20000.00,1.09731489,21946.2978
1608933240,2020-12-25 21:54:00,BTC/EUR,19983.13,19994.54,19983.13,19994.54,1.79139244,35818.0677972776
1608933180,2020-12-25 21:53:00,BTC/EUR,19986.75,19987.31,19977.93,19977.93,0.54126953,10813.444781472901
1608933120,2020-12-25 21:52:00,BTC/EUR,19982.10,19989.43,19969.64,19983.34,0.38963092,7786.1271488728
1608933060,2020-12-25 21:51:00,BTC/EUR,19984.34,19984.34,19976.09,19977.99,0.15566404,3109.8546344796005
1608933000,2020-12-25 21:50:00,BTC/EUR,19967.93,19988.49,19967.93,19984.34,1.62545835,32483.712322239
1608932940,2020-12-25 21:49:00,BTC/EUR,19983.15,19983.15,19955.69,19960.33,1.49557402,29852.150978626603
1608932880,2020-12-25 21:48:00,BTC/EUR,19983.36,19987.90,19983.36,19987.90,0.04253098,850.1049751420002
1608932820,2020-12-25 21:47:00,BTC/EUR,19984.22,19986.83,19962.93,19986.83,0.27334556,5463.3112389748
1608932760,2020-12-25 21:46:00,BTC/EUR,19963.66,19972.45,19963.66,19972.45,0.57219147,11428.0655250015
1608932700,2020-12-25 21:45:00,BTC/EUR,19959.40,19960.43,19958.13,19960.18,0.87843082,17533.637284747598
1608932640,2020-12-25 21:44:00,BTC/EUR,19947.19,19956.65,19947.19,19953.90,1.92103810,38332.20214359
1608932580,2020-12-25 21:43:00,BTC/EUR,19957.13,19958.28,19943.97,19943.97,5.72269525,114133.26238514252
1608932520,2020-12-25 21:42:00,BTC/EUR,19962.84,19962.84,19947.05,19947.05,0.11417544,2277.463210452
1608932460,2020-12-25 21:41:00,BTC/EUR,19957.73,19964.47,19943.70,19962.84,2.33118705,46537.114089222
1608932400,2020-12-25 21:40:00,BTC/EUR,19956.05,19978.17,19951.83,19978.17,1.17388678,23452.109651592596
1608932340,2020-12-25 21:39:00,BTC/EUR,19947.92,19959.47,19947.92,19959.47,0.03341800,667.0055684600001
